         買超概算   區間漲幅       代號            分類
15     電子上游-IC-封測   緩緩上漲    欣銓-◎    8.2(億)
16     電子上游-IC-封測   緩緩上漲     台星科   1.85(億)
17        電子中游-機殼   緩緩上漲      旭品   1.13(億)
18     電子上游-IC-設計     很強    力旺-●  12.01(億)
19      電子中游-光學鏡片  上漲ing     新鉅科   0.53(億)
20          傳產-生技   緩緩上漲  太景*-KY   0.15(億)
21      電子下游-手機製造   緩緩上漲      致伸   7.31(億)
22     電子上游-IC-設計  上漲ing   譜瑞-KY  11.63(億)
23     電子上游-IC-設計   緩緩上漲    信驊-●  10.43(億)
24    電子上游-DRAM銷售  上漲ing      宜鼎    5.0(億)
25          軟體-其他     很強     美而快   2.52(億)
26     電子上游-IC-設計   緩緩上漲      創惟   2.63(億)
27   電子中游-LCD-零組件   緩緩上漲    瑞儀-◎    8.3(億)
28   電子中游-變壓器與UPS  上漲ing      佳邦   2.44(億)
29      電子中游-通訊設備   緩緩上漲    啟碁-◎   13.5(億)
30     電子上游-IC-設計  上漲ing      點序   1.99(億)
31     電子上游-IC-設計  上漲ing     愛普*  10.66(億)
32   電子上游-LED及光元件   緩緩上漲     長科*   0.24(億)
33        電子中游-網通  上漲ing      台通   0.67(億)
34     電子上游-IC-設計   緩緩上漲      矽創  11.62(億)
35    電子上游-PCB-製造   緩緩上漲    南電-●  26.28(億)
36     電子上游-IC-設計  上漲ing      致新   4.04(億)
37     電子上游-IC-通路   緩緩上漲      至上   5.85(億)
38    電子上游-PCB-製造  上漲ing      博智   1.96(億)
39        電子中游-機殼   緩緩上漲      勤誠  11.16(億)
40     電子上游-IC-設計   緩緩上漲    群聯-●  11.71(億)
41          傳產-其他   緩緩下跌   紅木-KY  -0.05(億)
42          傳產-其他   緩緩下跌   鈺齊-KY   4.42(億)
    node1   node2     node3          node4
0    緩緩上漲      卜蜂   2.98(億)          傳產-食品
1    緩緩上漲      力山   2.43(億)          傳產-電機
2      很強     堤維西   8.48(億)       傳產-汽車零組件
3    緩緩上漲      合機   1.19(億)        傳產-電線電纜
4    緩緩上漲      劍麟   1.75(億)       傳產-汽車零組件
5   上漲ing      精元   1.85(億)  電子中游-NB與手機零組件
6    緩緩下跌    漢唐-◎   6.35(億)    電子中游-儀器設備工程
7    緩緩上漲   聯發科-●  135.6(億)     電子上游-IC-設計
8   上漲ing    裕民-◎   6.51(億)          傳產-航運
9    緩緩上漲   晶豪科-◎   7.34(億)     電子上游-IC-設計
